epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,476.306,1.80594,1.15596,1.14164,0.80603,0.55978,0.64504,0.32541,1.58054,0.8279,1.05906,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126
2,907.213,1.64342,0.91293,1.03083,0.82177,0.56587,0.6525,0.32724,1.5927,0.83877,1.05122,0.0195979,0.00653264,0.0195979,0.00653264,0.0195979,0.00653264,0.0195979,0.00653264
3,1328.33,1.68394,0.96151,1.04754,0.79248,0.55612,0.62731,0.32228,1.58599,0.92167,1.06751,0.028806,0.00960201,0.028806,0.00960201,0.028806,0.00960201,0.028806,0.00960201
4,1756.75,1.68611,0.97213,1.04848,0.82061,0.57086,0.65656,0.33627,1.55815,0.85567,1.04844,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2180.3,1.63596,0.91212,1.04334,0.82813,0.58174,0.67236,0.34924,1.52881,0.80183,1.04183,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2604.21,1.62402,0.88213,1.02416,0.83461,0.59423,0.68302,0.35006,1.53528,0.78076,1.03886,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3033.67,1.59124,0.8528,1.01693,0.84093,0.6181,0.70469,0.36991,1.49433,0.76639,1.03105,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3454.6,1.57145,0.831,1.01069,0.84902,0.61599,0.70884,0.37386,1.47112,0.74208,1.02377,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3888.42,1.56716,0.81942,1.00571,0.84876,0.62233,0.71488,0.37662,1.46627,0.73007,1.01449,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4314.72,1.54794,0.80517,1.00012,0.8536,0.62722,0.71982,0.38081,1.45955,0.72041,1.01695,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4741.77,1.5408,0.79413,0.99847,0.85351,0.63389,0.72648,0.3866,1.4426,0.70686,1.01162,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5167.99,1.54308,0.78954,0.99662,0.85655,0.64254,0.73138,0.3888,1.44985,0.69626,1.00584,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5597.68,1.52643,0.77486,0.99083,0.85905,0.64759,0.73564,0.39384,1.44417,0.68787,1.00766,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6027.15,1.51664,0.76711,0.98796,0.85635,0.65001,0.73876,0.3949,1.44181,0.68559,1.01015,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6458.75,1.51189,0.75876,0.99167,0.85903,0.65248,0.74125,0.39705,1.43485,0.68106,1.00623,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6885.21,1.51278,0.75593,0.9846,0.86359,0.65415,0.74514,0.3959,1.4317,0.66764,1.00639,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7315,1.49406,0.74297,0.98162,0.86708,0.6617,0.75354,0.40444,1.42502,0.66476,1.00257,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7742.54,1.49389,0.73666,0.97909,0.86459,0.66384,0.75235,0.40195,1.43034,0.65513,1.00029,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,8166.07,1.48178,0.72924,0.98095,0.87029,0.66492,0.75709,0.40644,1.42056,0.65221,0.99808,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8595.77,1.48452,0.7266,0.97477,0.86636,0.665,0.75416,0.40656,1.4187,0.65074,1.00153,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,9018.3,1.47376,0.72074,0.9742,0.86982,0.66972,0.75837,0.40883,1.41362,0.64405,0.99847,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,9442.15,1.47437,0.7193,0.97798,0.86966,0.67409,0.76288,0.41052,1.41116,0.64087,0.99586,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
