epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1590.52,1.91488,1.60533,1.28912,0.75158,0.4309,0.50272,0.22729,1.8578,1.0844,1.24162,0.000666537,0.000666537,0.000666537
2,3378.99,1.8294,1.22596,1.24217,0.77084,0.45258,0.52566,0.25424,1.75932,1.00414,1.21396,0.00130681,0.00130681,0.00130681
3,4834.75,1.80045,1.1722,1.226,0.78293,0.47371,0.54654,0.2567,1.73771,0.96422,1.18444,0.00192068,0.00192068,0.00192068
4,6288.66,1.77235,1.12293,1.21401,0.78793,0.46796,0.55732,0.27049,1.71388,0.93974,1.18076,0.0018812,0.0018812,0.0018812
5,7713.06,1.74784,1.07924,1.19902,0.7849,0.49935,0.579,0.27297,1.73147,0.89683,1.17244,0.0018416,0.0018416,0.0018416
6,9091.08,1.70895,1.03644,1.18917,0.79711,0.50753,0.59399,0.28307,1.70713,0.88537,1.16771,0.001802,0.001802,0.001802
7,10497.9,1.69904,1.00862,1.17622,0.81183,0.49896,0.58517,0.28906,1.6431,0.85479,1.13963,0.0017624,0.0017624,0.0017624
8,11900.4,1.67979,0.98327,1.16978,0.79842,0.50124,0.5808,0.27309,1.70977,0.8537,1.15642,0.0017228,0.0017228,0.0017228
9,13313.3,1.67444,0.97451,1.16015,0.81616,0.54134,0.61947,0.30119,1.63028,0.82587,1.13168,0.0016832,0.0016832,0.0016832
10,14736.5,1.65543,0.95135,1.15182,0.81666,0.52452,0.60832,0.29636,1.63853,0.81559,1.13612,0.0016436,0.0016436,0.0016436
11,16154.6,1.64512,0.93269,1.1512,0.80634,0.53427,0.61545,0.29288,1.66973,0.81185,1.13731,0.001604,0.001604,0.001604
12,17612.1,1.63866,0.9268,1.14997,0.81864,0.53709,0.62337,0.30575,1.64179,0.80385,1.13085,0.0015644,0.0015644,0.0015644
13,19048.1,1.63064,0.91643,1.14602,0.81526,0.54966,0.63814,0.30929,1.64002,0.79778,1.13353,0.0015248,0.0015248,0.0015248
14,20448.7,1.62002,0.89589,1.133,0.8269,0.54159,0.63184,0.30803,1.64215,0.79185,1.12948,0.0014852,0.0014852,0.0014852
15,21938.3,1.62139,0.8956,1.1327,0.82677,0.54911,0.63123,0.30795,1.61504,0.76763,1.11376,0.0014456,0.0014456,0.0014456
16,23453.4,1.60898,0.88722,1.12968,0.81986,0.55896,0.63895,0.31158,1.62806,0.76248,1.11621,0.001406,0.001406,0.001406
17,24908.8,1.59238,0.87126,1.12642,0.82719,0.5586,0.63858,0.31301,1.61781,0.75645,1.11234,0.0013664,0.0013664,0.0013664
18,26368,1.59779,0.86558,1.12474,0.82811,0.55115,0.63842,0.31374,1.60205,0.74751,1.11156,0.0013268,0.0013268,0.0013268
19,27812.9,1.60069,0.86905,1.12554,0.82292,0.56042,0.64211,0.31288,1.60409,0.75531,1.11175,0.0012872,0.0012872,0.0012872
20,29279,1.58285,0.85605,1.11631,0.82525,0.55954,0.64594,0.31801,1.58761,0.73796,1.10734,0.0012476,0.0012476,0.0012476
21,30863.4,1.5639,0.83987,1.10863,0.82757,0.56622,0.65488,0.32455,1.57493,0.72624,1.10255,0.001208,0.001208,0.001208
22,32321.5,1.55996,0.84393,1.11127,0.83154,0.56691,0.64916,0.31825,1.59813,0.73079,1.10309,0.0011684,0.0011684,0.0011684
23,33803.1,1.57015,0.83241,1.11105,0.82582,0.57493,0.66,0.32454,1.57665,0.72284,1.10409,0.0011288,0.0011288,0.0011288
24,35282.7,1.55906,0.82802,1.11046,0.83093,0.57818,0.66519,0.32958,1.57416,0.71612,1.09665,0.0010892,0.0010892,0.0010892
25,36767,1.54865,0.81321,1.10139,0.83105,0.57559,0.66142,0.3293,1.56863,0.71488,1.09349,0.0010496,0.0010496,0.0010496
26,38222.8,1.54834,0.81309,1.10063,0.82801,0.5765,0.6646,0.32941,1.55623,0.70611,1.09117,0.00101,0.00101,0.00101
27,39735.9,1.52682,0.79433,1.10105,0.84085,0.57775,0.66891,0.33488,1.54364,0.70207,1.08737,0.0009704,0.0009704,0.0009704
28,41193.7,1.53976,0.80352,1.095,0.83177,0.57888,0.66241,0.32992,1.55769,0.70266,1.08874,0.0009308,0.0009308,0.0009308
29,42668,1.53876,0.79935,1.09254,0.83559,0.57975,0.66497,0.33091,1.55877,0.70129,1.09279,0.0008912,0.0008912,0.0008912
30,44154.7,1.53689,0.79512,1.09743,0.83824,0.58081,0.66651,0.33338,1.53715,0.69018,1.0854,0.0008516,0.0008516,0.0008516
31,45601.2,1.52358,0.78682,1.09099,0.83905,0.58478,0.67154,0.33707,1.54308,0.69128,1.08348,0.000812,0.000812,0.000812
32,47056.5,1.52049,0.77946,1.0844,0.83625,0.58604,0.67288,0.33806,1.52771,0.68443,1.07913,0.0007724,0.0007724,0.0007724
33,48512.5,1.50858,0.77247,1.0841,0.83712,0.58714,0.67366,0.3385,1.53294,0.68238,1.08346,0.0007328,0.0007328,0.0007328
34,49975.4,1.51412,0.77366,1.08632,0.83527,0.58944,0.67596,0.34179,1.51653,0.67892,1.0803,0.0006932,0.0006932,0.0006932
35,51452.3,1.50455,0.7584,1.07756,0.83498,0.58733,0.67508,0.34094,1.51929,0.6758,1.07597,0.0006536,0.0006536,0.0006536
36,52912.9,1.50155,0.75307,1.07498,0.83838,0.58472,0.6738,0.34248,1.51276,0.67441,1.07528,0.000614,0.000614,0.000614
37,1328.84,1.48968,0.74647,1.07311,0.84044,0.58844,0.6769,0.34247,1.5187,0.67215,1.0738,0.0005744,0.0005744,0.0005744
38,6258.62,1.48288,0.74691,1.0687,0.83826,0.58948,0.67668,0.34176,1.52244,0.67011,1.07566,0.0005348,0.0005348,0.0005348
39,10893.2,1.485,0.74347,1.06776,0.84054,0.59329,0.68088,0.34479,1.51106,0.66737,1.07172,0.0004952,0.0004952,0.0004952
40,12403.7,1.48119,0.7382,1.06848,0.84079,0.59339,0.68135,0.34542,1.50565,0.66258,1.07066,0.0004556,0.0004556,0.0004556
41,16856.3,1.37065,0.65172,1.08151,0.83932,0.58298,0.67141,0.34154,1.49914,0.67021,1.06891,0.000416,0.000416,0.000416
42,1057.14,1.35865,0.64171,1.0743,0.83874,0.57952,0.66937,0.34062,1.4945,0.66814,1.06422,0.0003764,0.0003764,0.0003764
43,1479.39,1.29601,0.60211,1.04684,0.8358,0.57674,0.66672,0.33877,1.49652,0.66897,1.0652,0.0003368,0.0003368,0.0003368
44,5586.4,1.35256,0.62881,1.06784,0.83423,0.57713,0.6677,0.34016,1.49605,0.66544,1.06615,0.0002972,0.0002972,0.0002972
45,2089.13,1.22497,0.58335,1.06785,0.8235,0.56247,0.65391,0.33361,1.46622,0.67955,1.11197,0.0002576,0.0002576,0.0002576
46,4150.17,1.27549,0.60102,1.08595,0.82455,0.55087,0.64759,0.32972,1.47364,0.68838,1.11163,0.000218,0.000218,0.000218
47,6180.69,1.30038,0.61221,1.09941,0.82541,0.54646,0.64222,0.32795,1.47389,0.68993,1.11048,0.0001784,0.0001784,0.0001784
48,8229.3,1.29672,0.61133,1.10027,0.82444,0.54771,0.64567,0.32957,1.4752,0.69076,1.11023,0.0001388,0.0001388,0.0001388
49,10259.4,1.2836,0.60095,1.09002,0.82136,0.54527,0.64104,0.32785,1.47431,0.69072,1.11009,9.92e-05,9.92e-05,9.92e-05
50,12314.8,1.27481,0.59339,1.08566,0.82259,0.5425,0.63913,0.32736,1.47033,0.69323,1.10834,5.96e-05,5.96e-05,5.96e-05
