imagem,aluno,x1,y1,x2,y2,confianca_yolo,proporcao,boca,indice,status,modo_coletivo,media_atencao_imagem
testeFOCA1.jpg,1,1125,193,1223,318,0.865,0.78,0.0,0.94,FOCADO,False,0.85
testeFOCA1.jpg,2,952,321,1079,483,0.8514,0.78,0.0,0.94,FOCADO,False,0.85
testeFOCA1.jpg,3,602,293,707,407,0.8282,0.92,0.0,0.64,PARCIAL,False,0.85
testeFOCA1.jpg,4,316,306,429,448,0.8169,0.8,0.0,0.9,FOCADO,False,0.85
testeFOCA1.jpg,5,883,234,953,333,0.8003,0.71,0.0,0.92,FOCADO,False,0.85
testeFOCA1.jpg,6,1371,323,1448,426,0.7888,0.75,0.0,1.0,FOCADO,False,0.85
testeFOCA1.jpg,7,294,245,381,340,0.7265,0.92,0.0,0.64,PARCIAL,False,0.85
testeFOCA2.jpg,1,618,156,661,203,0.8486,0.91,0.0,0.66,PARCIAL,False,0.8
testeFOCA2.jpg,2,79,264,129,324,0.8028,0.83,0.0,0.84,FOCADO,False,0.8
testeFOCA2.jpg,3,87,194,111,224,0.8021,0.8,0.0,0.9,FOCADO,False,0.8
testeFOCA2.jpg,4,309,198,329,226,0.7983,0.71,0.0,0.92,FOCADO,False,0.8
testeFOCA2.jpg,5,526,184,548,211,0.7869,0.81,0.0,0.88,FOCADO,False,0.8
testeFOCA2.jpg,6,241,177,258,198,0.7808,0.81,0.0,0.88,FOCADO,False,0.8
testeFOCA2.jpg,7,403,174,421,197,0.769,0.78,0.0,0.94,FOCADO,False,0.8
testeFOCA2.jpg,8,178,162,193,180,0.7669,0.83,0.0,0.84,FOCADO,False,0.8
testeFOCA2.jpg,9,204,200,230,230,0.7593,0.87,0.0,0.75,FOCADO,False,0.8
testeFOCA2.jpg,10,40,177,61,199,0.7556,0.95,0.0,0.57,PARCIAL,False,0.8
testeFOCA2.jpg,11,13,152,28,168,0.7103,0.94,0.0,0.59,PARCIAL,False,0.8
testeFOCA2.jpg,12,90,159,104,176,0.71,0.82,0.0,0.86,FOCADO,False,0.8
testeFOCA3.jpg,1,1079,779,1259,979,0.87,0.9,0.0,0.69,PARCIAL,False,0.63
testeFOCA3.jpg,2,382,520,522,701,0.8551,0.77,0.0,0.96,FOCADO,False,0.63
testeFOCA3.jpg,3,175,237,269,349,0.847,0.84,0.0,0.82,FOCADO,False,0.63
testeFOCA3.jpg,4,555,271,654,397,0.8469,0.79,0.0,0.92,FOCADO,False,0.63
testeFOCA3.jpg,5,922,265,1004,363,0.8392,0.84,0.0,0.82,FOCADO,False,0.63
testeFOCA3.jpg,6,739,182,811,266,0.8317,0.86,0.0,0.78,FOCADO,False,0.63
testeFOCA3.jpg,7,1210,231,1291,331,0.825,0.81,0.0,0.88,FOCADO,False,0.63
testeFOCA3.jpg,8,422,178,503,275,0.8145,0.84,0.0,0.82,FOCADO,False,0.63
testeFOCA3.jpg,9,637,150,703,228,0.8141,0.85,0.0,0.8,FOCADO,False,0.63
testeFOCA3.jpg,10,687,359,781,467,0.814,0.87,0.0,0.75,FOCADO,False,0.63
testeFOCA3.jpg,11,242,117,296,181,0.8072,0.84,0.0,0.82,FOCADO,False,0.63
testeFOCA3.jpg,12,1302,335,1393,435,0.7906,0.91,0.0,0.66,PARCIAL,False,0.63
testeFOCA3.jpg,13,136,149,216,242,0.7787,0.86,0.0,0.78,FOCADO,False,0.63
testeFOCA3.jpg,14,1477,37,1523,97,0.7747,0.77,0.0,0.96,FOCADO,False,0.63
