imagem,aluno,x1,y1,x2,y2,confianca_yolo,proporcao,boca,indice,status,modo_coletivo,media_atencao_imagem
testeFOCA1.jpg,1,602,292,709,407,0.8689,0.93,0.0,0.54,PARCIAL,False,0.8
testeFOCA1.jpg,2,880,232,953,332,0.8561,0.73,0.0,0.99,FOCADO,False,0.8
testeFOCA1.jpg,3,952,321,1079,481,0.8487,0.79,0.0,0.83,FOCADO,False,0.8
testeFOCA1.jpg,4,316,306,431,446,0.8409,0.82,0.0,0.76,FOCADO,False,0.8
testeFOCA1.jpg,5,1128,195,1220,320,0.8244,0.74,0.0,0.96,FOCADO,False,0.8
testeFOCA1.jpg,6,1371,326,1451,434,0.8041,0.74,0.0,0.96,FOCADO,False,0.8
testeFOCA1.jpg,7,294,246,381,340,0.7363,0.93,0.0,0.54,PARCIAL,False,0.8
testeFOCA2.jpg,1,619,157,660,204,0.8694,0.87,0.0,0.66,PARCIAL,False,0.78
testeFOCA2.jpg,2,79,264,129,325,0.848,0.82,0.0,0.76,FOCADO,False,0.78
testeFOCA2.jpg,3,87,194,111,224,0.826,0.8,0.0,0.8,FOCADO,False,0.78
testeFOCA2.jpg,4,308,198,329,225,0.7964,0.78,0.0,0.85,FOCADO,False,0.78
testeFOCA2.jpg,5,526,184,549,211,0.7833,0.85,0.0,0.7,FOCADO,False,0.78
testeFOCA2.jpg,6,241,176,257,197,0.7596,0.76,0.0,0.91,FOCADO,False,0.78
testeFOCA2.jpg,7,402,174,420,197,0.7571,0.78,0.0,0.85,FOCADO,False,0.78
testeFOCA2.jpg,8,205,200,227,227,0.7542,0.81,0.0,0.78,FOCADO,False,0.78
testeFOCA2.jpg,9,178,162,193,181,0.7469,0.79,0.0,0.83,FOCADO,False,0.78
testeFOCA2.jpg,10,40,176,61,201,0.7278,0.84,0.0,0.72,FOCADO,False,0.78
testeFOCA2.jpg,11,12,152,26,170,0.7211,0.78,0.0,0.85,FOCADO,False,0.78
testeFOCA2.jpg,12,91,159,105,175,0.6876,0.88,0.0,0.64,PARCIAL,False,0.78
testeFOCA3.jpg,1,1210,230,1291,332,0.8899,0.79,0.0,0.83,FOCADO,False,0.53
testeFOCA3.jpg,2,556,273,655,395,0.8714,0.81,0.0,0.78,FOCADO,False,0.53
testeFOCA3.jpg,3,176,237,269,351,0.8701,0.82,0.0,0.76,FOCADO,False,0.53
testeFOCA3.jpg,4,379,519,523,702,0.8699,0.79,0.0,0.83,FOCADO,False,0.53
testeFOCA3.jpg,5,1083,779,1258,978,0.8691,0.88,0.0,0.64,PARCIAL,False,0.53
testeFOCA3.jpg,6,686,361,780,472,0.8442,0.85,0.0,0.7,FOCADO,False,0.53
testeFOCA3.jpg,7,739,182,809,264,0.8414,0.85,0.0,0.7,FOCADO,False,0.53
testeFOCA3.jpg,8,637,150,702,229,0.8395,0.82,0.0,0.76,FOCADO,False,0.53
testeFOCA3.jpg,9,921,266,1005,365,0.8363,0.85,0.0,0.7,FOCADO,False,0.53
testeFOCA3.jpg,10,421,181,503,277,0.827,0.85,0.0,0.7,FOCADO,False,0.53
testeFOCA3.jpg,11,1302,334,1393,434,0.8057,0.91,0.0,0.58,PARCIAL,False,0.53
testeFOCA3.jpg,12,242,117,296,181,0.7993,0.84,0.0,0.72,FOCADO,False,0.53
testeFOCA3.jpg,13,1477,39,1524,97,0.7922,0.81,0.0,0.78,FOCADO,False,0.53
testeFOCA3.jpg,14,136,152,215,246,0.7763,0.84,0.0,0.72,FOCADO,False,0.53
testeFOCA3.jpg,15,1380,66,1431,122,0.7486,0.91,0.0,0.58,PARCIAL,False,0.53
testeFOCA3.jpg,16,1277,536,1376,635,0.6744,1.0,0.0,0.4,DISTRAIDO,False,0.53
testeFOCA3.jpg,17,0,93,10,169,0.6352,0.13,0.0,0.0,DISTRAIDO,False,0.53
testeFOCA3.jpg,18,1553,527,1600,625,0.5474,0.48,0.0,0.0,DISTRAIDO,False,0.53
testeFOCA3.jpg,19,0,92,13,173,0.5377,0.16,0.0,0.0,DISTRAIDO,False,0.53
testeFOCA3.jpg,20,1573,84,1600,137,0.4857,0.51,0.0,0.0,DISTRAIDO,False,0.53
testeFOCA3.jpg,21,1551,646,1600,810,0.4402,0.3,0.0,0.0,DISTRAIDO,False,0.53
testeFOCA4.jpg,1,1398,278,1528,447,0.8579,0.77,0.0,0.88,FOCADO,False,0.6
testeFOCA4.jpg,2,0,396,92,530,0.848,0.69,0.0,0.91,FOCADO,False,0.6
testeFOCA4.jpg,3,107,234,180,310,0.8326,0.96,0.0,0.48,PARCIAL,False,0.6
testeFOCA4.jpg,4,1381,166,1456,242,0.8073,0.99,0.0,0.42,DISTRAIDO,False,0.6
testeFOCA4.jpg,5,1071,191,1158,294,0.7811,0.84,0.0,0.72,FOCADO,False,0.6
testeFOCA4.jpg,6,891,284,1008,424,0.7326,0.84,0.0,0.72,FOCADO,False,0.6
testeFOCA4.jpg,7,612,274,707,380,0.6824,0.9,0.0,0.6,PARCIAL,False,0.6
testeFOCA4.jpg,8,828,183,891,289,0.5051,0.59,0.0,0.32,DISTRAIDO,False,0.6
testeFOCA4.jpg,9,458,248,528,315,0.4379,1.04,0.0,0.32,DISTRAIDO,False,0.6
testeFOCA5.webp,1,324,63,371,122,0.8739,0.8,0.0,0.8,FOCADO,False,0.73
testeFOCA5.webp,2,99,46,156,114,0.8513,0.84,0.0,0.72,FOCADO,False,0.73
testeFOCA5.webp,3,261,84,285,114,0.8439,0.8,0.0,0.8,FOCADO,False,0.73
testeFOCA5.webp,4,223,79,243,105,0.793,0.77,0.0,0.88,FOCADO,False,0.73
testeFOCA5.webp,5,172,87,200,116,0.7812,0.97,0.0,0.46,PARCIAL,False,0.73
testeRostoLula.jpg,1,199,235,706,938,0.8312,0.72,0.0,0.99,FOCADO,False,0.99
testeRostoVirado.jpg,1,283,43,425,245,0.9128,0.7,0.0,0.93,FOCADO,False,0.93
testeTurma.jpg,1,222,126,307,211,0.8387,1.0,0.0,0.4,DISTRAIDO,False,0.49
testeTurma.jpg,2,480,27,502,54,0.8139,0.81,0.0,0.78,FOCADO,False,0.49
testeTurma.jpg,3,458,110,525,174,0.8102,1.05,0.0,0.3,DISTRAIDO,False,0.49
testeTurma.jpg,4,109,31,125,50,0.8087,0.84,0.0,0.72,FOCADO,False,0.49
testeTurma.jpg,5,543,49,586,91,0.8038,1.02,0.0,0.36,DISTRAIDO,False,0.49
testeTurma.jpg,6,27,24,46,46,0.8038,0.86,0.0,0.68,PARCIAL,False,0.49
